user_id,event_name,event_time,country,platform,acquisition_channel
7,"View Landing Page",2025-05-01T00:01:26.613Z,"Spain","macOS","Organic Search"
639,"View Landing Page",2025-05-01T00:01:40.782Z,"Denmark","iOS","Organic Search"
177,"View Landing Page",2025-05-01T00:03:53.979Z,"Austria","macOS","Organic Search"
822,"View Landing Page",2025-05-01T00:04:19.054Z,"Netherlands","macOS","Organic Search"
634,"View Landing Page",2025-05-01T00:04:32.043Z,"France","Windows","Organic Search"
121,"View Landing Page",2025-05-01T00:08:11.434Z,"France","Windows","Email"
117,"View Landing Page",2025-05-01T00:09:31.281Z,"Sweden","iOS","Social Media"
947,"View Landing Page",2025-05-01T00:11:52.020Z,"Belgium","iOS","Referral"
173,"View Landing Page",2025-05-01T00:19:17.969Z,"Poland","iOS","Referral"
654,"View Landing Page",2025-05-01T00:21:31.712Z,"Poland","Windows","Organic Search"
104,"View Landing Page",2025-05-01T00:24:10.468Z,"UK","Windows","Paid Search"
297,"View Landing Page",2025-05-01T00:26:07.479Z,"UK","iOS","Social Media"
591,"View Landing Page",2025-05-01T00:27:13.000Z,"Netherlands","macOS","Paid Search"
24,"View Landing Page",2025-05-01T00:30:11.440Z,"UK","macOS","Email"
744,"View Landing Page",2025-05-01T00:32:24.098Z,"Italy","Android","Organic Search"
475,"View Landing Page",2025-05-01T00:33:02.355Z,"Spain","Windows","Social Media"
71,"View Landing Page",2025-05-01T00:34:01.724Z,"UK","Android","Social Media"
357,"View Landing Page",2025-05-01T00:35:56.465Z,"Netherlands","iOS","Social Media"
675,"View Landing Page",2025-05-01T00:37:35.907Z,"UK","iOS","Paid Search"
521,"View Landing Page",2025-05-01T00:38:02.646Z,"Czech Republic","macOS","Social Media"
391,"View Landing Page",2025-05-01T00:39:55.596Z,"France","Android","Organic Search"
601,"View Landing Page",2025-05-01T00:44:42.357Z,"France","iOS","Organic Search"
364,"View Landing Page",2025-05-01T00:45:51.504Z,"Poland","macOS","Referral"
765,"View Landing Page",2025-05-01T00:46:31.312Z,"UK","Android","Email"
122,"View Landing Page",2025-05-01T00:46:53.944Z,"Germany","macOS","Social Media"
969,"View Landing Page",2025-05-01T00:49:49.201Z,"Austria","Windows","Organic Search"
750,"View Landing Page",2025-05-01T00:50:55.906Z,"Belgium","iOS","Social Media"
125,"View Landing Page",2025-05-01T00:52:53.531Z,"Germany","Android","Paid Search"
302,"View Landing Page",2025-05-01T00:53:07.515Z,"Poland","macOS","Organic Search"
305,"View Landing Page",2025-05-01T00:53:35.670Z,"Austria","macOS","Referral"
551,"View Landing Page",2025-05-01T00:55:50.064Z,"Poland","Linux","Organic Search"
941,"View Landing Page",2025-05-01T00:57:24.056Z,"Poland","Windows","Social Media"
401,"View Landing Page",2025-05-01T00:57:31.853Z,"UK","iOS","Email"
269,"View Landing Page",2025-05-01T01:00:31.757Z,"Sweden","macOS","Email"
757,"View Landing Page",2025-05-01T01:03:48.863Z,"France","Windows","Social Media"
118,"View Landing Page",2025-05-01T01:05:19.521Z,"Belgium","macOS","Social Media"
267,"View Landing Page",2025-05-01T01:05:45.425Z,"Poland","Linux","Email"
9,"View Landing Page",2025-05-01T01:05:51.019Z,"Sweden","macOS","Social Media"
207,"View Landing Page",2025-05-01T01:07:33.695Z,"Germany","Windows","Social Media"
402,"View Landing Page",2025-05-01T01:08:04.320Z,"Germany","Windows","Social Media"
